id,name,email,phone,address,city,postal_code
1,King Louvenia Bergstrom,YsgWflf@ihcbmLP.com,+736107215849,8801 Rosshire Drive,325 East 7th Street,85301
2,Prof. Jerry Kreiger,JwcEpxa@yCBlfOq.net,+810148596723,3194 Bladensburg Road Northeast,8 Kozera Avenue,06040
3,King Ralph Buckridge,uGIljHa@MqaCwQi.org,+889273514610,2223 North Fernwood Court,689 Stableway Road,36116
4,King Ambrose Spencer,lsFVbKq@ALunoiM.edu,+738104591762,51185 Helmsman Street,201 West Montgomery Cross Road,99502
5,Lord Eriberto Schuppe,EKOemAn@BexQEyS.biz,+783947102651,82 Lookout Mountain Drive,12 Kane Road,37218
6,Dr. Arden Fahey,obMaDqA@rCmwyXj.net,+897146382510,207 Spruce Street,629 Debbie Drive,05462
7,King Sylvan Reichert,dSiSaeD@tUJEnVy.net,+898110736425,1537 Northwest 123rd Street,39 Cottage Street,36106
8,Mr. Roy Koelpin,igmLyxl@AjQkjjC.org,+836105847192,503 Orchard Road,11 North Vineyard Drive,73127
9,Mr. Gianni Shields,PdQxFXE@puDLUYr.biz,+779410625813,1609 Porter Avenue,2723 East Joyce Boulevard,05701
10,Prince Sigrid Schowalter,UlklweP@ycqWley.info,+827538461019,1328 Tuckerman Street Northwest,2927 Leatherwood Drive,72704
